id_pdc                , statut_pdc               , url_description_pdc                                                                                                                                                                                                                                                                                                             , last_updated             , coordonneesxy         , adresse_station                                  , code_insee_commune, arrondissement
FR*V75*EPX19*17*6     , Inconnu                  , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX19*17*6     , 2024-02-26T03:30:05+00:00, "48.882175, 2.370891" , 4 Avenue Secrétan 75019 Paris                    ,              75119, 19e Arrondissement
FR*V75*PHBSAI*AUG*02*2, Mise en service planifiée, https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*PHBSAI*AUG*02*2, 2023-12-11T03:30:05+00:00, "48.87577, 2.320347"  , 18 rue Laborde 75008 PARIS                       ,                   , 08e Arrondissement
FR*V75*EPX10*14*2     , Inconnu                  , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX10*14*2     , 2024-03-05T06:58:47+00:00, "48.87484, 2.36289"   , 107 Quai de Valmy 75010 Paris                    ,              75114, 10e Arrondissement
FR*V75*EPX13*09*3     , Inconnu                  , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX13*09*3     , 2024-09-10T02:30:05+00:00, "48.834526, 2.353056" , 1 Rue Croulebarbe 75013 Paris                    ,              75113, 13e Arrondissement
FR*V75*EPX11*13*1     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX11*13*1     , 2024-09-09T02:30:05+00:00, "48.85366, 2.3923485" , 65 Avenue Philippe Auguste 75011 Paris           ,              75111, 11e Arrondissement
FR*V75*EPX02*09*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX02*09*3     , 2023-02-21T12:26:54+00:00, "48.86781, 2.34525"   , 116 Rue Réaumur 75002 Paris                      ,              75102, Paris centre
FR*V75*E9004*01*1     , Inconnu                  , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9004*01*1     , 2023-03-23T03:30:05+00:00, "48.856052, 2.3537521", 4 Place Saint-Gervais 75004 Paris                ,              75104, Paris centre
FR*V75*EPX09*01*7     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX09*01*7     , 2024-12-04T03:30:04+00:00, "48.880447, 2.3283632", 1 Rue Jules Lefèbvre 75009 Paris                 ,              75109, 09e Arrondissement
FR*V75*EPX13*09*4     , Inconnu                  , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX13*09*4     , 2024-09-10T02:30:05+00:00, "48.834526, 2.353056" , 1 Rue Croulebarbe 75013 Paris                    ,              75113, 13e Arrondissement
FR*V75*EPX01*06*4     , Inconnu                  , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX01*06*4     , 2023-07-10T02:30:07+00:00, "48.85788, 2.34681"   , 17 Avenue Victoria 75001 Paris                   ,              75101, Paris centre
